California Cities by Population Rank,City,Population
940,Walnut Grove,1342
941,Parklawn,1340
942,Squirrel Mountain Valley,1339
943,Mariposa,1338
944,Sheridan,1337
945,Shell Ridge,1328
946,Green Valley CDP,1314
947,Dunnigan,1299
948,Janesville,1298
949,Tahoe Vista,1290
950,Malaga,1287
951,Gerber,1280
952,Sunnyside-Tahoe City,1267
953,Newcastle,1261
954,Lake of the Woods,1260
955,Boronda,1259
956,Laytonville,1254
957,Palo Cedro,1253
958,Castle Hill,1232
959,Covelo,1223
960,Matheny,1221
961,Bolinas and Shandon,1219
962,Clay,1211
963,Minkler,1207
964,Sultana,1188
965,Coarsegold,1180
966,Berry Creek,1179
967,Kernville,1175
968,Soda Bay,1169
969,Inverness,1160
970,Johnstonville,1159
971,Talmage,1156
972,Westhaven-Moonstone,1153
973,Deer Park,1149
974,Kenwood,1144
975,Sea Ranch,1137
976,Teviston and Lake Don Pedro,1135
977,Maricopa,1127
978,Herald,1125
979,Summerland and McCloud,1108
980,Cohasset,1107
981,Zayante and Blue Lake,1096
982,Grayson,1083
983,Loyalton,1082
984,Avila Beach and Alpaugh,1080
985,Del Rio,1078
986,Hasley Canyon,1068
987,Riverdale Park,1067
988,March ARB and Mi-Wuk Village,1065
989,Taft Mosswood,1064
990,McClellan Park,1060
991,Elkhorn,1052
992,Mountain Ranch,1045
993,Tuttletown,1044
994,Santa Susana,1042
995,Blacklake,1041
996,Big River,1031
997,Green Valley,1030
998,Knights Landing,1028
999,Plainview,1016
1000,Monte Rio,1009
1001,Saticoy,1005
1002,Hydesville,1004
1003,Wallace and Plymouth,1002
1004,Yosemite Valley,996
1005,Bradbury and Beale AFB,992
1006,Whitewater,989
1007,Cobb and Lake Riverside,984
1008,Desert Shores,982
1009,Chalfant,981
1010,Garberville,979
1011,Pala and Norris Canyon,977
1012,Silverado Resort,976
1013,Indio Hills,973
1014,Boonville,972
1015,Mountain Gate,971
1016,Spring Valley,970
1017,Cedar Ridge,969
1018,Sunol,967
1019,Stratford,966
1020,Upper Lake,964
1021,Dollar Point,963
1022,Mount Hermon,958
1023,Gasquet,955
1024,Grizzly Flats,954
1025,Maxwell,942
1026,Penryn,939
1027,Thornton,934
1028,East Orosi,932
1029,Geyserville,929
1030,Camanche North Shore,928
1031,Caspar,924
1032,Butte Creek Canyon,921
1033,Hopland,914
1034,Tulelake,913
1035,Lytle Creek and Clyde,901
1036,Lompico,899
1037,Acalanes Ridge,894
1038,Occidental,892
1039,Greenville,890
1040,Fruitdale,888
1041,Diablo Grande,885
1042,Julian,878
1043,Dorris,877
1044,Crowley Lake,875
1045,Fuller Acres,872
1046,Linnell Camp and Fieldbrook,865
1047,Springville,849
1048,Bootjack,839
1049,Challenge-Brownsville,837
1050,Traver,834
1051,Aguanga,830
1052,Manila,823
1053,Fort Jones,819
1054,North Edwards,812
1055,Mountain Mesa,808
1056,Rolling Hills CDP and Happy Camp,800
1057,Los Olivos,788
1058,Rough and Ready,786
1059,East Tulare Villa,782
1060,Westley,779
1061,Pasatiempo,778
1062,Catheys Valley,774
1063,Glen Ellen,768
1064,Concow,762
1065,Cleone,760
1066,Tranquillity,758
1067,Fort Washington,756
1068,West Park and Camanche Village,755
1069,Alto,751
1070,Waterloo,750
1071,Smith River,746
1072,Indianola,736
1073,Scotia,734
1074,Smith Corner,733
1075,Inyokern,731
1076,Madison,727
1077,Klamath,722
1078,Walker,721
1079,Graeagle,713
1080,Miranda,710
1081,Pescadero and Etna,709
1082,Dobbins,696
1083,Butte Valley,695
1084,Niland,690
1085,Tonyville,684
1086,Dustin Acres and Alhambra Valley,679
1087,Tahoma,675
1088,Delleker,669
1089,Junction City,668
1090,Mendocino,664
1091,Coloma,663
1092,Millville and Ducor,657
1093,Mesa Verde,644
1094,Patton Village,638
1095,Cold Springs,637
1096,North Gate,630
1097,Bodega Bay and Bridgeport,629
1098,Hamilton Branch and Middletown,627
1099,Baker,626
1100,Lake Hughes,624
1101,San Ardo,623
1102,Onyx,621
1103,West Goshen and Diablo,618
1104,Independence,607
1105,Mokelumne Hill,604
1106,Sierra Village,598
1107,Isleton,597
1108,"Stinson Beach, Lakehead, and Tres Pinos",596
1109,Greeley Hill,593
1110,Loleta and Lockwood,591
1111,West Point,590
1112,Fort Dick,588
1113,Avery,575
1114,La Honda,574
1115,Bass Lake,571
1116,Seville,565
1117,Spreckels,562
1118,Forest Ranch,557
1119,New Cuyama,556
1120,Friant and Shaver Lake,552
1121,Salton Sea Beach,549
1122,Grangeville,547
1123,Canby,546
1124,Douglas City and Doyle,533
1125,Cowan,530
1126,Bangor,524
1127,San Simeon,523
1128,Paradise Park,521
1129,Acampo,520
1130,Centerville,518
1131,Allensworth and Hickman,513
1132,Clarksburg,511
1133,Bend,505
1134,Wilkerson,504
1135,Courtland,500
1136,Terminous,494
1137,Fulton and Ripley,493
1138,Nord,492
1139,Round Valley,484
1140,Los Berros,483
1141,Mad River,482
1142,Shelter Cove,477
1143,Alta,476
1144,French Gulch,474
1145,Point Arena,472
1146,Grenada,471
1147,Potrero and Peters,465
1148,River Pines,452
1149,Meridian,451
1150,Ballard and Keswick,449
1151,Groveland,446
1152,San Geronimo,444
1153,Point Reyes Station and Fall River Mills,443
1154,Boulevard and Oak Glen,439
1155,Carnelian Bay,438
1156,Buena Vista,436
1157,Tooleville,432
1158,Valley Acres,430
1159,Hiouchi,427
1160,Rio Oso,421
1161,Yettem,420
1162,Lindcove and Bloomfield,419
1163,Nipinnawasee,417
1164,Edmundson Acres,414
1165,Iron Horse,405
1166,Manton,404
1167,Yolo,402
1168,Fiddletown,393
1169,Tehama,392
1170,Mexican Colony,391
1171,Cantua Creek,386
1172,Victor and Bodega,384
1173,Ballico and June Lake,383
1174,McArthur,380
1175,Meadow Valley,379
1176,El Portal,378
1177,Artois,376
1178,Forbestown,370
1179,Stonyford,369
1180,Yankee Hill,365
